"id_produit","nom_produit","categorie","sous_categorie","marque","origine","prix_tnd","prix_segment","saison_forte","saison_faible","region_production","region_vente_forte","canal_vente_principal","canal_vente_secondaire","age_cible_min","age_cible_max","genre_cible","ses_cible","description_courte","ingredients_cles","certification","emballage","poids_volume","unite","stock_moyen","rotation_stock","marge_distributeur_pct","promotion_frequence","discount_moyen_pct","avis_moyen","nb_avis","tendance_2024","concurrent_principal","avantage_competitif","point_faible","strategie_marketing","influenceur_type","hashtags_populaires","moment_consommation","occasion_achat","packaging_eco","made_in_tunisia","halal","bio","artisanal","traditionnel","moderne","luxe","budget","familial","individuel","cadeau","ramadan_produit","ete_produit","hiver_produit","aid_produit","mariage_produit"
"P001","Huile d'Olive Extra Vierge Chetoui","Alimentation","Huiles","Terra Delyssa","Sfax","45.5","Premium","Hiver","Été","Sfax","Grand Tunis","Supermarché","Épicerie fine","25","65","Tous","Moyen-Élevé","Huile d'olive AOP Chetoui première pression à froid","Olives Chetoui 100%","AOP|Bio","Bouteille verre","750","ml","5000","Rapide","25","Mensuelle","15","4.7","892","Croissante","Olivko","Qualité AOP reconnue","Prix élevé","Storytelling terroir","Food blogger","#HuileTunisienne #Chetoui #BioTunisie","Cuisine quotidienne","Courses hebdomadaires","Oui","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P002","Harissa Cap Bon Forte","Alimentation","Condiments","Le Phénicien","Nabeul","8.9","Économique","Toute année","Aucune","Nabeul","Nationale","Supermarché","Souk","18","70","Tous","Tous","Harissa traditionnelle piquante du Cap Bon","Piment fort|Ail|Huile d'olive","Halal","Tube plastique","200","g","15000","Très rapide","30","Hebdomadaire","10","4.5","2341","Stable","Délice","Goût authentique","Packaging basique","Prix agressif,Promo volume","Cuisine influencer","#Harissa #CuisineTunisienne #Piquant","Repas quotidiens","Courses mensuelles","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Oui","Oui","Oui","Non"
"P003","Dattes Deglet Nour Premium","Alimentation","Fruits secs","Datte d'Or","Tozeur","32.0","Premium","Ramadan","Été","Tozeur","Nationale","Supermarché","Pâtisserie","20","60","Tous","Moyen-Élevé","Dattes Deglet Nour calibre supérieur","Dattes naturelles","Halal","Boîte carton","500","g","8000","Saisonnière","20","Quotidienne","25","4.8","1567","Très croissante","Bardo","Qualité supérieure","Saisonnalité","Premium positioning","Lifestyle influencer","#Ramadan #DattesTunisiennes #Healthy","Goûter|Dessert","Ramadan|Cadeaux","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Non","Oui","Non","Oui","Oui","No","No","Oui","Oui"
"P004","Couscous Grain Moyen","Alimentation","Féculents","Dari","Sousse","4.5","Économique","Hiver","Été","Sousse","Nationale","Supermarché","Souk","25","65","Tous","Tous","Couscous grain moyen traditionnel","Semoule de blé dur","Halal","Sachet plastique","1000","g","25000","Très rapide","15","Hebdomadaire","8","4.3","3421","Stable","Ferrero","Prix compétitif","Packaging simple","Volume familial,TV + Radio","Famille influencer","#Couscous #CuisineTunisienne #Vendredi","Déjeuner vendredi","Courses hebdomadaires","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P005","Thon à l'Huile d'Olive","Alimentation","Conserves","Goulette","Bizerte","12.5","Moyen","Toute année","Aucune","Bizerte","Nationale","Supermarché","Épicerie","18","65","Tous","Tous","Thon albacore à l'huile d'olive tunisienne","Thon|Huile d'olive|Sel","Halal","Boîte métal","160","g","18000","Rapide","22","Hebdomadaire","12","4.4","1876","Croissante","Mabrouka","Qualité constante","Concurrence forte","Recettes en ligne","Food blogger","#ThonTunisien #RecetteFacile #Salade","Déjeuner rapide","Courses mensuelles","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P006","Savon Noir Beldi","Beauté","Soins corps","Medina","Tunis","15.0","Moyen","Toute année","Aucune","Tunis","Grand Tunis","Pharmacie","Hammam","20","50","Femme","Moyen-Élevé","Savon noir traditionnel pour hammam","Huile d'olive|Eucalyptus","Bio|Naturel","Pot plastique","250","g","3000","Moyenne","35","Mensuelle","20","4.6","654","Croissante","Nila","100% naturel","Distribution limitée","Niche hammam,Instagram + TikTok","Beauty influencer","#Hammam #BeautéNaturelle #SavonNoir","Hammam hebdomadaire","Rituel beauté","Oui","Oui","Non","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Oui","Oui","Non","Non","Non"
"P007","Eau de Fleur d'Oranger","Alimentation","Arômes","Carthage","Nabeul","6.5","Économique","Ramadan","Aucune","Nabeul","Nationale","Supermarché","Pâtisserie","25","70","Tous","Tous","Eau de fleur d'oranger naturelle pour pâtisserie","Fleur d'oranger distillée","Naturel","Bouteille plastique","250","ml","12000","Saisonnière","25","Quotidienne","15","4.5","987","Stable","Sicam","Arôme authentique","Packaging daté","Tradition,Recettes vidéo","Food blogger","#Pâtisserie #Ramadan #Traditionnel","Pâtisserie","Ramadan|Fêtes","Non","Oui","Non","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Non","No","Oui","Oui"
"P008","Gel Douche Jasmin","Beauté","Hygiène","Jasmine","Sfax","18.5","Moyen","Été","Hiver","Sfax","Nationale","Supermarché","Pharmacie","18","45","Femme","Moyen","Gel douche parfum jasmin de Tunisie","Jasmin|Aloe vera","Dermatologique","Flacon plastique","400","ml","8000","Rapide","28","Hebdomadaire","18","4.3","1234","Croissante","Dove","Parfum local","Prix moyen","Senteur unique,Digital + Promo","Beauty influencer","#Jasmin #BeautéTunisienne #Fraîcheur","Douche quotidienne","Courses mensuelles","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P009","Makroud aux Dattes","Alimentation","Pâtisserie","Délice","Kairouan","25.0","Moyen","Ramadan","Été","Kairouan","Nationale","Pâtisserie","Supermarché","15","65","Tous","Moyen","Pâtisserie traditionnelle aux dattes et miel","Dattes|Semoule|Miel","Halal|Artisanal","Boîte carton","500","g","5000","Saisonnière","30","Quotidienne","35","4.7","2109","Très croissante","Pâtisserie locale","Fait maison","Durée conservation","Nostalgie,Instagram Stories","Food influencer","#Makroud #Ramadan #Artisanal","Goûter|Café","Ramadan|Cadeaux","Oui","Oui","Oui","Non","Oui","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Non","No","Oui","Oui"
"P010","Parfum Musc Tunisien","Beauté","Parfums","Carthage Essence","Tunis","85.0","Premium","Toute année","Aucune","Tunis","Grand Tunis","Parfumerie","Boutique","25","55","Tous","Élevé","Eau de parfum musc et jasmin","Musc|Jasmin|Ambre","Halal","Flacon verre","50","ml","1500","Lente","40","Rare","10","4.8","432","Croissante","Importés","Made in Tunisia","Prix élevé","Luxe local,Influenceur luxe","Luxury influencer","#ParfumTunisien #Luxe #MadeInTunisia","Quotidien|Soirée","Cadeau|Personnel","Oui","Oui","Oui","Non","Non","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Oui","Non","Non","Oui"
"P011","Brick à l'Oeuf Surgelé","Alimentation","Surgelés","Frigor","Tunis","12.0","Moyen","Ramadan","Été","Tunis","Nationale","Supermarché","Épicerie","20","60","Tous","Moyen","Brick tunisien prêt à frire","Pâte brick|Oeuf|Thon","Halal","Sachet plastique","400","g","6000","Rapide","25","Hebdomadaire","20","4.2","876","Croissante","Fait maison","Praticité","Goût vs maison","Gain de temps,Facebook Ads","Famille influencer","#Brick #Ramadan #Pratique","Ftour Ramadan","Ramadan|Apéritif","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Oui","Non","No","Oui","Non"
"P012","Henné Naturel","Beauté","Coloration","Medina Beauty","Sfax","8.0","Économique","Été","Hiver","Sfax","Nationale","Pharmacie","Souk","18","60","Femme","Tous","Poudre de henné 100% naturel","Henné pur","Naturel|Bio","Sachet papier","100","g","4000","Moyenne","30","Mensuelle","25","4.4","1543","Stable","Importé Inde","100% naturel","Application longue","Tradition,TikTok tutoriel","Beauty influencer","#Henné #Naturel #Tradition","Coloration cheveux","Mariage|Fêtes","Oui","Oui","Non","Oui","Oui","Oui","Non","Non","Oui","Non","Oui","Non","Oui","Oui","Non","Oui","Oui"
"P013","Jus de Citron Concentré","Alimentation","Boissons","Sicam","Nabeul","5.5","Économique","Été","Hiver","Nabeul","Nationale","Supermarché","Café","15","65","Tous","Tous","Jus de citron 100% naturel concentré","Citron de Tunisie","Naturel","Bouteille plastique","500","ml","10000","Rapide","20","Hebdomadaire","12","4.1","765","Stable","Minute Maid","Prix bas","Goût acide","Volume,Promo été","Food blogger","#Citron #Rafraîchissant #Été","Boisson fraîche","Courses été","Non","Oui","Non","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P014","Tapis Berbère Artisanal","Maison","Décoration","Atlas Craft","Kairouan","450.0","Luxe","Toute année","Aucune","Kairouan","Grand Tunis","Boutique","En ligne","30","60","Tous","Élevé","Tapis berbère fait main laine pure","Laine|Teinture naturelle","Artisanal","Roulé","200x150","cm","200","Très lente","45","Jamais","5","4.9","89","Croissante","Importé Maroc","100% artisanal","Prix très élevé","Luxe authentique,Instagram + Showroom","Déco influencer","#TapisBerbère #Artisanat #Luxe","Décoration","Mariage|Maison","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Non","Non","Oui","Non","Oui","Oui","Oui","Oui","Oui"
"P015","Lait Frais Pasteurisé","Alimentation","Produits laitiers","Vitalait","Béja","2.8","Économique","Toute année","Aucune","Béja","Nationale","Supermarché","Épicerie","0","99","Tous","Tous","Lait frais pasteurisé demi-écrémé","Lait de vache","Halal","Bouteille plastique","1000","ml","50000","Très rapide","12","Quotidienne","8","4.2","5432","Stable","Délice","Fraîcheur","DLC courte","Santé famille,TV + Radio","Famille influencer","#Lait #Santé #Famille","Petit-déjeuner","Courses hebdomadaires","Oui","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Oui","Non","Non"
"P016","Chéchia Traditionnelle","Mode","Accessoires","Jebba","Tunis","65.0","Moyen","Hiver","Été","Tunis","Grand Tunis","Boutique","Souk","40","80","Homme","Moyen-Élevé","Chéchia tunisienne traditionnelle en feutre","Feutre laine","Artisanal","Boîte carton","1","unité","800","Très lente","35","Jamais","0","4.6","234","Décroissante","Importé Turquie","Patrimoine","Marché vieillissant","Tradition,Événements culturels","Culture influencer","#Chéchia #Patrimoine #Tunisie","Cérémonies","Mariage|Fêtes","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Oui","Oui"
"P017","Shampooing Huile d'Argan","Beauté","Soins cheveux","Sahara Beauty","Tataouine","22.0","Moyen","Toute année","Aucune","Tataouine","Nationale","Pharmacie","Supermarché","18","50","Femme","Moyen","Shampooing à l'huile d'argan du sud tunisien","Argan|Kératine","Naturel","Flacon plastique","400","ml","5000","Rapide","32","Mensuelle","22","4.5","1098","Croissante","L'Oréal","Argan local","Notoriété faible","Ingrédient local,Instagram + Influenceurs","Beauty influencer","#Argan #CheveuxSains #Naturel","Douche","Courses mensuelles","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P018","Confiture de Figues","Alimentation","Confitures","Délice du Verger","Béja","14.5","Moyen","Automne","Printemps","Béja","Nationale","Supermarché","Épicerie fine","20","70","Tous","Moyen","Confiture artisanale de figues de Barbarie","Figues|Sucre|Citron","Artisanal","Pot verre","350","g","3000","Moyenne","28","Mensuelle","18","4.6","543","Croissante","Bonne Maman","Fruit local","Saisonnalité","Terroir,Recettes petit-déj","Food blogger","#Confiture #Figues #Artisanal","Petit-déjeuner","Courses mensuelles","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P019","Eau Minérale Ain Garci","Alimentation","Boissons","Ain Garci","Bizerte","0.8","Économique","Été","Hiver","Bizerte","Nationale","Supermarché","Café","0","99","Tous","Tous","Eau minérale naturelle source Ain Garci","Eau minérale","Naturel","Bouteille plastique","1500","ml","100000","Très rapide","8","Quotidienne","5","4.3","8765","Stable","Safia","Prix compétitif","Packaging basique","Volume,Promo été","Sport influencer","#Hydratation #Santé #Sport","Quotidien","Courses hebdomadaires","Oui","Oui","Non","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P020","Poterie de Nabeul","Maison","Décoration","Artisan Nabeul","Nabeul","35.0","Moyen","Toute année","Aucune","Nabeul","Touristique","Boutique","Souk","25","65","Tous","Moyen-Élevé","Assiette décorative peinte main","Argile|Peinture","Artisanal","Emballage papier","1","unité","1000","Lente","40","Rare","10","4.7","321","Stable","Importé","Fait main","Fragile","Souvenir,Tourisme","Déco influencer","#Poterie #Nabeul #Artisanat","Décoration","Souvenir|Cadeau","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non","Non","Oui","Non","Oui","Oui","Non","Non","Oui"
"P021","Boga Cidre","Alimentation","Boissons","Boga","Tunis","1.8","Économique","Été","Hiver","Tunis","Nationale","Supermarché","Café","8","65","Tous","Tous","Boisson gazeuse tunisienne emblématique au goût cidre","Eau gazéifiée|Arôme cidre|Sucre","Halal","Bouteille verre","250","ml","80000","Très rapide","18","Hebdomadaire","10","4.6","6543","Très croissante","Coca-Cola","Nostalgie tunisienne","Distribution limitée export","Prix bas + nostalgie,TV + Réseaux sociaux","Lifestyle influencer","#Boga #GazozBoga #MadeInTunisia #Nostalgie","Pause café|Repas","Courses hebdomadaires","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Oui","Non","Oui","Oui","Oui","Non","Non"
"P022","Boga Limoun","Alimentation","Boissons","Boga","Tunis","1.8","Économique","Été","Hiver","Tunis","Nationale","Supermarché","Café","8","65","Tous","Tous","Limonade gazeuse tunisienne rafraîchissante","Eau gazéifiée|Arôme citron|Sucre","Halal","Bouteille verre","250","ml","60000","Très rapide","18","Hebdomadaire","10","4.5","5210","Croissante","Fanta","Goût citron authentique","Concurrence forte","Rafraîchissement local,Digital + Promo été","Lifestyle influencer","#BogaLimoun #Rafraîchissant #Été #Tunisie","Pause café|Repas|Apéritif","Courses hebdomadaires","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Oui","Non","Oui","Oui","Oui","Non","Non"
"P023","Slata Mechouia en Conserve","Alimentation","Conserves","Le Phénicien","Nabeul","6.5","Économique","Toute année","Aucune","Nabeul","Nationale","Supermarché","Épicerie","18","70","Tous","Tous","Salade mechouia traditionnelle prête à servir","Poivrons grillés|Tomates|Ail|Huile d'olive","Halal","Boîte métal","350","g","12000","Rapide","25","Hebdomadaire","12","4.4","1876","Croissante","Fait maison","Praticité + goût authentique","Perception conserve vs frais","Tradition + praticité,Recettes TikTok","Food influencer","#SlataMechouia #CuisineTunisienne #Pratique","Entrée|Accompagnement","Courses mensuelles","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Oui","Oui","Non"
"P024","Fromage Double Crème","Alimentation","Produits laitiers","Vitalait","Béja","7.2","Moyen","Toute année","Aucune","Béja","Nationale","Supermarché","Épicerie","15","65","Tous","Moyen","Fromage frais double crème onctueux","Lait|Crème|Ferments lactiques","Halal","Pot plastique","200","g","15000","Rapide","22","Mensuelle","15","4.3","2341","Croissante","La Vache Qui Rit","Crémeux + local","Notoriété faible","Petit-déjeuner familial,Facebook + Instagram","Famille influencer","#Fromage #PetitDéj #Famille #Tunisie","Petit-déjeuner|Goûter","Courses hebdomadaires","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Oui","Non","Non"
"P025","Crème Solaire Protectrice","Beauté","Soins corps","Medina Beauty","Sfax","28.0","Moyen","Été","Hiver","Sfax","Nationale","Pharmacie","Supermarché","18","55","Tous","Moyen-Élevé","Protection solaire SPF50 adaptée peau méditerranéenne","Filtres UV|Aloe vera|Vitamine E","Dermatologique","Tube plastique","150","ml","4000","Saisonnière","30","Mensuelle","20","4.5","876","Très croissante","Nivea","Formule peau méditerranéenne","Saisonnalité forte","Santé + beauté été,Instagram + Pharmacie","Beauty influencer","#ProtectionSolaire #Été #BeautéTunisienne","Quotidien été","Courses été","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
